realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.29166794,0.6108543,1.1421492,2.0174437,2.9341881,3.716783,3.9824343,3.9999888,3.9999702,3.9999263,3.999822
1,0.25804004,0.52909833,1.1457057,1.9597274,2.9487026,3.7362244,3.9919868,3.9999883,3.9999704,3.9999251,3.999818
2,0.3017425,0.5717966,1.1624556,1.9832758,2.8899531,3.7632678,3.9936411,3.9999893,3.9999716,3.9999301,3.9998217
3,0.2659752,0.55725765,1.1775333,1.9777805,2.9043686,3.744746,3.9912388,3.9999886,3.9999692,3.9999275,3.9998212
4,0.25328577,0.5853212,1.1368308,1.9574915,2.9070182,3.786906,3.9933982,3.999988,3.999972,3.9999292,3.9998026
