realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.14384922,0.3362546,0.9651752,2.3323302,5.766489,12.359098,14.994119,15.000061,15.000195,15.000058,14.999785
1,0.15285198,0.35321894,0.9355042,2.2069721,5.7656317,12.215996,14.98311,15.000057,15.000134,15.000215,14.99972
2,0.15240677,0.3780547,0.90588945,2.2391355,5.727982,12.320267,14.980985,15.000068,15.00016,15.000177,14.999718
3,0.17161265,0.34855554,0.9257322,2.2840605,5.734545,12.255772,14.979298,15.00002,15.000143,15.0002,14.999686
4,0.15387341,0.38321123,0.92971087,2.2381804,5.7126985,12.358799,14.98614,15.000082,15.000183,15.000102,14.999727
