realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.15132818,0.34863785,0.9710565,2.2518272,5.706012,11.218314,14.869398,16.696709,17.000061,17.000162,16.999918
1,0.12789282,0.33703852,0.9439665,2.2551777,5.6971154,11.439945,14.803089,16.668291,17.000051,17.000257,16.999876
2,0.13235193,0.34572288,0.89151245,2.3613312,5.755815,11.298148,14.936706,16.634558,16.999851,17.000084,16.999966
3,0.1655931,0.39157072,0.90396696,2.2529826,5.852087,11.259625,15.04841,16.721199,17.000154,17.000189,16.999865
4,0.14153926,0.38529554,0.9471858,2.4180388,5.573875,11.090881,14.953744,16.699663,17.000168,17.000109,16.999903
