realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.16249134,0.3183982,0.8708377,2.2773976,5.6178384,11.422507,15.42434,17.794302,18.655243,18.994402,19.000048
1,0.1472881,0.37425756,0.9213095,2.3849912,5.4523764,11.137453,15.288693,17.669422,18.68117,18.98899,18.999983
2,0.11883713,0.3650463,0.92346084,2.3443646,5.4220614,11.226907,15.5321045,17.539236,18.607822,18.985384,19.000044
3,0.15067364,0.3502643,0.9463059,2.3115082,5.7632394,11.174936,15.332434,17.641537,18.683233,18.99607,19.000015
4,0.15306452,0.3435721,0.935387,2.349724,5.9038653,11.402125,15.327259,17.620117,18.645086,18.991829,19.00003
