realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.15537469,0.33591163,0.8807502,2.2208292,5.7813935,11.309371,12.99709,13.000068,13.00012,13.000339,12.99997
1,0.1617837,0.40637687,0.9339749,2.3294985,5.589099,11.2659645,12.991859,13.000023,13.000136,13.000342,12.999754
2,0.16456482,0.42853433,0.8942628,2.3287637,5.5705705,11.261506,12.99524,13.000058,13.000156,13.000337,12.999772
3,0.11644305,0.32072812,0.8908857,2.2872286,5.7414236,11.3458605,12.987493,13.000084,13.000135,13.000391,12.999759
4,0.1486839,0.30965713,0.9363024,2.2880716,5.803041,11.399467,12.993704,13.000033,13.000145,13.000286,12.999886
