realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.16116942,0.32723573,0.90323734,2.1941085,5.7063117,11.318105,12.995888,13.000053,13.000164,13.000257,12.999829
1,0.11573157,0.3659983,0.8826015,2.3668776,5.7015424,11.27005,12.990167,13.000042,13.000156,13.000283,12.99989
2,0.14316672,0.35569373,0.8664402,2.3250942,5.4211764,11.370551,12.993268,13.000043,13.000164,13.000329,12.999848
3,0.11895791,0.3791347,0.88072765,2.2973197,5.743589,11.363348,12.994668,13.000111,13.000143,13.000297,12.9998665
4,0.16166253,0.35139102,0.8888696,2.3142488,5.6686196,11.3776455,12.9913025,13.000035,13.000146,13.000401,12.999762
