realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.26227325,0.58617204,1.1686764,1.9686528,3.0117404,4.151692,5.2207375,5.884512,5.999757,5.99996,5.9998965
1,0.25696,0.57620704,1.2075995,2.0303392,3.0175333,4.129852,5.308354,5.8972006,5.9958544,5.9999704,5.999884
2,0.26372546,0.53580946,1.1190541,2.0152707,3.0586193,4.1274757,5.20196,5.89723,5.999243,5.999969,5.999904
3,0.25984752,0.6105457,1.1841685,1.9863276,2.9940083,4.0958834,5.2683296,5.8939815,5.9986625,5.99996,5.999915
4,0.24932423,0.5907685,1.1323247,1.976928,3.0177736,4.1198545,5.2458124,5.9118204,5.9997063,5.999963,5.999901
