realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.27750647,0.5796594,1.1848162,1.7192277,1.9824452,1.9999894,1.9999917,1.9999801,1.9999487,1.9998716,1.999688
1,0.27375868,0.6068677,1.1446532,1.7134125,1.9805125,1.9999869,1.9999919,1.9999796,1.9999502,1.9998765,1.9996853
2,0.2642649,0.5350614,1.1182144,1.7202901,1.9828596,1.9999968,1.999992,1.9999806,1.9999518,1.999875,1.999671
3,0.2572989,0.577235,1.1402035,1.7415409,1.9759905,1.9999851,1.999992,1.9999799,1.9999471,1.99987,1.9996672
4,0.26961514,0.58815295,1.1109809,1.7227081,1.9675454,1.9999962,1.9999919,1.9999796,1.9999474,1.9998702,1.9996638
