realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.1409252,0.3677763,0.9579471,2.2549052,5.509602,11.291909,12.990692,13.000045,13.000124,13.000347,12.999831
1,0.1252373,0.4074772,0.9440428,2.2706847,5.5485644,11.273823,12.990698,13.000025,13.000155,13.00034,12.999839
2,0.13287908,0.38600442,0.9016214,2.3229015,5.5617137,11.273088,12.996663,13.000006,13.000102,13.00023,12.999964
3,0.13112079,0.3647726,0.88313687,2.382807,5.609548,11.300867,12.994594,13.000031,13.000165,13.000221,12.999872
4,0.14962786,0.34514686,0.8914493,2.3273268,5.627898,11.324695,12.997303,13.000053,13.000183,13.000338,12.999852
