realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.11921292,0.3816707,0.9282394,2.321389,5.2917905,9.400348,11.859018,12.885587,12.999989,12.999961,12.999902
1,0.13362296,0.39604974,0.8792568,2.2335079,5.416442,9.521552,11.846964,12.906132,12.999984,12.999972,12.999932
2,0.16442111,0.34954256,0.85231614,2.3088162,5.28151,9.63654,11.78113,12.90635,12.9999695,12.999948,12.999938
3,0.13609414,0.37446004,0.90182143,2.3303988,5.448841,9.582106,11.793197,12.886151,12.999987,12.999984,12.999952
4,0.14138027,0.32274845,0.8903546,2.3187487,5.4551888,9.387008,11.777621,12.916071,12.999972,12.999976,12.999955
