realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.26850134,0.6203245,1.142591,2.0254922,2.877746,3.7374382,3.9921806,3.9999888,3.9999695,3.9999292,3.9998236
1,0.27464405,0.61878777,1.1141053,1.9528967,2.9360816,3.7382414,3.9889605,3.999987,3.9999702,3.999926,3.9998238
2,0.24700426,0.558887,1.1747593,1.9644867,2.9541492,3.705307,3.9893563,3.9999888,3.9999719,3.9999278,3.9998
3,0.27252334,0.58783954,1.1969129,1.9535223,2.932879,3.7603438,3.9871533,3.9999886,3.9999704,3.9999287,3.999818
4,0.2625569,0.60247713,1.1575625,1.9851415,2.889744,3.7414918,3.991961,3.9999886,3.9999704,3.9999263,3.9998207
