realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.16210221,0.3580692,0.8983423,2.2148044,5.4058356,10.110261,10.998782,10.999998,10.999993,10.999956,10.999859
1,0.16469948,0.35527894,0.9211338,2.2625935,5.442256,10.031689,10.99628,11.000007,10.999978,10.999949,10.999877
2,0.14002292,0.3627432,0.91578287,2.3298423,5.5272975,10.063726,10.998735,10.999989,10.999975,10.9999275,10.999823
3,0.16900642,0.3852205,0.9456018,2.2647223,5.483388,10.094619,10.995922,11.000016,10.999989,10.999934,10.9998665
4,0.1272986,0.38259292,0.9068456,2.2421803,5.64098,10.007886,10.997747,10.999988,10.999979,10.999955,10.999898
