realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.13581175,0.35086772,0.8772161,2.3377562,5.6753383,11.825833,15.744624,17.54839,17.999561,18.000349,18.000767
1,0.14215736,0.36038187,0.8468716,2.2478497,5.660036,11.727879,15.483584,17.595154,17.999702,18.000467,18.000378
2,0.15798192,0.38632786,0.8539696,2.2142084,5.523948,11.537758,15.618325,17.563232,17.999807,18.000385,18.000608
3,0.1509361,0.33011627,0.86187196,2.311148,5.556964,11.740973,15.679995,17.59774,17.999708,18.00047,18.000767
4,0.13291226,0.35979438,0.9131144,2.1716206,5.815575,11.617887,15.490741,17.614779,17.999758,18.000397,18.000664
