realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.17130631,0.3657644,0.9129361,2.2563388,5.5389547,11.154049,15.947387,18.531694,19.574924,19.982183,19.999811
1,0.16113982,0.37295535,0.9025273,2.3451335,5.5743737,11.501571,16.11136,18.563938,19.703636,19.982527,19.999796
2,0.17429878,0.3797053,0.8735494,2.3163178,5.5032816,11.387136,16.095974,18.493063,19.647472,19.981142,19.999743
3,0.13179845,0.41825232,0.88493174,2.284253,5.7211103,11.600587,16.174908,18.62544,19.6423,19.983973,19.999847
4,0.16758968,0.38749924,0.90145653,2.205567,5.612577,11.559219,16.217459,18.453066,19.55743,19.976318,19.999716
