realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.25122526,0.6155417,1.176877,2.0256326,2.974295,3.7431214,3.9887342,3.9999883,3.9999714,3.9999294,3.9998052
1,0.27084675,0.5578078,1.1775637,2.0183995,2.9120522,3.747535,3.9906626,3.999988,3.99997,3.999927,3.9998088
2,0.27591804,0.59974,1.1407306,1.9604218,2.9284286,3.7313607,3.9918194,3.999988,3.9999704,3.9999263,3.9998128
3,0.2936615,0.56226903,1.178644,1.995241,2.9212034,3.7222095,3.9887419,3.9999883,3.9999704,3.9999287,3.999825
4,0.26473856,0.594692,1.1784848,1.904349,2.9189641,3.751449,3.9899623,3.9999886,3.9999719,3.9999254,3.9998212
