realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.23997313,0.5746488,1.1660023,1.9815099,3.018565,4.073778,5.2295623,5.8942747,5.9997725,5.999963,5.999908
1,0.24105902,0.6018592,1.1729516,2.0303125,2.9899197,4.1277523,5.192848,5.90551,5.998679,5.999957,5.9999075
2,0.26887423,0.5873245,1.1268706,1.9896255,3.0092075,4.1135836,5.2250404,5.9029045,5.9998174,5.999964,5.9999285
3,0.26204187,0.5767716,1.1053922,1.9613316,2.985444,4.178181,5.191092,5.9097657,5.9994526,5.9999623,5.999914
4,0.26937896,0.61826533,1.1367292,2.0031667,2.9721487,4.1140475,5.287492,5.890028,5.9994307,5.9999604,5.9999022
