realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.14784522,0.3391432,0.9183233,2.2484424,5.6996913,11.770236,13.990601,14.000123,14.000153,14.000408,14.000721
1,0.15677471,0.36374933,0.8760047,2.2749462,5.756215,11.8788,13.991423,13.999983,14.000177,14.0003605,14.000759
2,0.15431198,0.36619514,0.8581753,2.1256335,5.813071,11.847299,13.993595,14.000001,14.000101,14.00038,14.000929
3,0.15271854,0.36231932,0.91511947,2.3306386,5.625097,11.905163,13.993008,14.000066,14.000169,14.000396,14.000951
4,0.13472007,0.3544493,0.8968463,2.3692956,5.7028756,11.901944,13.992432,14.000001,14.000123,14.000372,14.000803
