realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.25505942,0.580975,1.16821,2.0115504,2.9609058,4.101162,5.2569056,5.917825,5.999522,5.999957,5.999893
1,0.2549094,0.61123395,1.160756,1.9855849,2.964145,4.1224957,5.246604,5.8872313,5.999583,5.9999633,5.9998946
2,0.28033796,0.56963104,1.1896085,1.9908308,2.9697826,4.0902953,5.2099094,5.9181976,5.99817,5.999964,5.999902
3,0.23818596,0.5679517,1.1898546,2.0003633,3.0755308,4.089666,5.214268,5.882077,5.9997888,5.99996,5.999904
4,0.24431036,0.59943175,1.1322014,1.9901943,2.984397,4.1242056,5.2523813,5.9102464,5.9983516,5.999964,5.9998865
