realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.16406417,0.32733035,0.9648578,2.2639554,5.1351037,8.489081,8.99881,8.999982,8.999982,8.999984,8.999951
1,0.1342924,0.36644652,0.8191724,2.2526054,5.2221627,8.490753,8.99252,8.999983,8.999986,9.0,8.999959
2,0.16783153,0.34783238,0.93930215,2.2295802,5.286554,8.453867,8.99932,9.000019,8.999986,8.999989,9.000004
3,0.09863993,0.37615725,0.8861514,2.2287517,5.2201157,8.53833,8.999347,9.000026,9.000002,9.00002,9.0000515
4,0.12803836,0.36022773,0.873289,2.200021,5.3819056,8.432851,8.9977,9.000019,8.999984,8.999996,8.999994
