realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.1194794,0.33713615,0.87561506,2.2888925,5.156516,8.478507,8.995629,8.999984,9.000003,9.000024,9.000035
1,0.12475919,0.34138533,0.90139335,2.2039273,5.237535,8.475342,8.999543,9.000008,8.999994,9.000005,9.0
2,0.13075891,0.3978139,0.9132336,2.2150743,5.096872,8.529708,8.995433,9.000019,8.999998,9.000001,9.000009
3,0.16168246,0.3620917,0.8242493,2.306591,5.233028,8.503464,8.999133,9.000009,9.000019,9.000018,8.999985
4,0.13328926,0.34764218,0.89692086,2.14127,5.154116,8.460596,8.999615,8.9999895,9.000005,9.000027,9.000054
