realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.1334714,0.35527873,0.8879446,2.2600193,5.2398076,9.502999,12.251722,13.974898,14.823573,14.999788,15.000042
1,0.1272047,0.33583897,0.99512523,2.2687433,5.2684836,9.495879,12.204646,14.027499,14.781216,14.993385,14.999988
2,0.15716597,0.3599224,0.88140875,2.1830466,5.2654743,9.526727,12.300556,14.108792,14.846685,14.999654,15.000039
3,0.14140482,0.34712973,0.9688214,2.3200884,5.3414454,9.414461,12.259804,14.041882,14.875084,14.998304,14.999994
4,0.12929265,0.35842898,0.92923605,2.275765,5.4358435,9.558348,12.16571,14.006026,14.82219,14.993388,15.00002
