realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.25468963,0.5784698,1.1467475,1.7096211,1.9870195,1.9999957,1.9999919,1.9999799,1.9999495,1.9998698,1.9996738
1,0.25964275,0.58375067,1.1482742,1.7162995,1.9836208,1.9999955,1.999992,1.9999804,1.9999487,1.9998777,1.999662
2,0.25146806,0.57145965,1.1211957,1.6874862,1.9826968,1.9999961,1.999992,1.9999791,1.9999487,1.9998727,1.9996741
3,0.24197042,0.56809294,1.1574483,1.7239823,1.9751579,1.9999965,1.9999924,1.9999799,1.99995,1.9998738,1.9996777
4,0.29052824,0.594541,1.1270059,1.7000699,1.9701066,1.9999968,1.999992,1.9999801,1.9999492,1.999869,1.9996835
