realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.14439589,0.39157787,0.8832664,2.130441,4.9018517,7.6806197,7.998369,7.9999957,8.000007,8.000018,8.000005
1,0.14657684,0.34984398,0.8416825,2.187237,5.0245857,7.644838,7.9961467,7.999999,8.000006,8.000008,8.000002
2,0.15277661,0.3730708,0.9146161,2.2819924,4.90714,7.5930996,7.999857,8.000009,8.000004,7.999997,8.000021
3,0.14011429,0.31810397,0.93036246,2.2205944,4.983406,7.6808577,7.996049,8.000005,8.000005,7.9999824,7.9999833
4,0.10957326,0.34844565,0.906091,2.1582305,4.847851,7.6244335,7.9989443,8.000006,8.000002,8.000004,8.000019
