realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.13938287,0.34771988,0.9480867,2.2445073,5.18022,8.873264,11.0512705,11.906889,11.999978,11.999968,11.999918
1,0.14508744,0.356338,0.922512,2.2113535,5.3572416,9.103685,10.993429,11.934133,11.999983,11.999987,11.999992
2,0.13808952,0.32990596,0.91044563,2.2818809,5.2079,8.944545,10.913836,11.927508,11.999972,11.9999895,11.999983
3,0.15205577,0.36077318,0.9652497,2.2584646,5.134203,8.839523,11.01522,11.908205,11.996712,11.999979,11.999957
4,0.14001687,0.37353835,0.83849263,2.355409,5.0369506,8.976406,11.047439,11.927284,11.999986,11.999983,11.999947
