realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.25515595,0.5755705,1.138702,2.0582654,2.9976625,4.1633844,5.193821,5.8833504,5.9999547,5.999963,5.99991
1,0.27860785,0.61136883,1.1521449,1.9816575,3.0046778,4.1242304,5.2058296,5.8759165,5.999863,5.999958,5.9998846
2,0.28044748,0.52991045,1.1930761,1.9667319,2.9926572,4.1595154,5.225238,5.907514,5.9989433,5.999965,5.99991
3,0.2705684,0.59451264,1.1383791,1.9861103,2.9289584,4.1052523,5.2560854,5.878654,5.9999237,5.9999657,5.9999037
4,0.2579892,0.59857196,1.2201428,1.9406587,3.0045383,4.181036,5.268688,5.9133782,5.999906,5.9999623,5.999909
