realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.2577875,0.552216,1.1347916,1.9668173,2.902892,3.7410793,3.9857593,3.9999883,3.9999704,3.9999304,3.999812
1,0.25902343,0.603264,1.1101996,1.947127,2.9008758,3.7476537,3.9846609,3.9999886,3.999972,3.9999332,3.9998076
2,0.25043663,0.59131527,1.1976943,2.0304482,2.9675221,3.7503607,3.9890041,3.999987,3.9999707,3.9999282,3.999805
3,0.25487074,0.61998916,1.1676762,1.9793812,2.98551,3.7447004,3.9881852,3.999988,3.9999702,3.9999244,3.9998174
4,0.24746461,0.5590159,1.145413,1.9050556,2.958305,3.7363498,3.981134,3.999988,3.9999702,3.9999282,3.999822
