realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.12808244,0.3963265,0.92409223,2.2141902,4.7947598,6.7961173,6.9998193,7.0000067,6.999999,6.99999,6.999986
1,0.12980409,0.3571103,0.89604986,2.2596347,4.9917755,7.6192374,7.9996495,7.9999943,7.9999866,7.9999743,7.9999294
2,0.14963692,0.35171357,0.8783163,2.1990137,4.9877744,7.612576,7.9990172,8.000003,7.9999986,7.9999905,7.9999537
3,0.12898624,0.39087483,0.9171732,2.2313352,4.8060026,7.637435,7.9972806,8.000004,7.999999,7.999993,7.9999924
4,0.12700254,0.34654084,0.94213015,2.2008593,4.9369903,7.6131635,7.995245,7.9999995,8.000002,8.000006,8.000007
