realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.15557012,0.37341285,0.8720936,2.2339082,5.0864773,8.999321,11.338199,13.0295925,13.865683,13.999523,14.000019
1,0.14803119,0.35669222,0.9261806,2.2307186,5.1334796,8.79967,11.638951,13.056558,13.842242,13.999463,14.00002
2,0.14408492,0.34658208,0.8443443,2.2743073,5.294802,8.807626,11.503297,13.052018,13.844735,13.999326,14.000032
3,0.1444329,0.36658257,0.92398417,2.3331928,5.281408,8.951313,11.416289,13.019343,13.830934,13.996261,14.000026
4,0.18075529,0.33929396,0.8888833,2.2148364,5.234186,8.868764,11.448447,13.049434,13.827944,13.999416,14.000021
