realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.1441451,0.36943308,0.88168985,2.1858914,4.9202533,7.6095715,7.9989195,7.9999995,7.9999943,8.000007,8.000005
1,0.1345168,0.36903223,0.8689282,2.2894418,4.9507995,7.597772,7.999244,8.000003,8.000002,7.999994,7.999996
2,0.15978932,0.33365098,0.85427654,2.2186835,4.8859267,7.6577716,7.9988456,7.9999924,7.999997,7.9999924,8.00001
3,0.1510754,0.34905288,0.9566818,2.1728818,4.9209766,7.546123,7.99969,7.999995,7.9999948,7.9999876,7.9999647
4,0.12840508,0.36619192,0.9618348,2.1382194,4.93911,7.6234183,7.996611,8.000005,8.000007,8.000004,8.000014
