realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.27024192,0.6166417,1.1205474,1.7160025,1.9778817,1.9999965,1.9999917,1.9999803,1.9999477,1.9998765,1.9996871
1,0.2792628,0.59672564,1.1588701,1.744088,1.9758314,1.9999963,1.999992,1.9999793,1.9999516,1.9998755,1.9996829
2,0.25951242,0.5853208,1.1407356,1.7327183,1.9793899,1.9999801,1.9999918,1.9999802,1.9999524,1.9998738,1.9996884
3,0.26944768,0.5703533,1.1147666,1.7213662,1.9753236,1.9999938,1.9999925,1.999979,1.9999498,1.9998736,1.9996827
4,0.23882546,0.57359207,1.1830193,1.7248682,1.9819021,1.9999963,1.9999921,1.9999796,1.9999497,1.9998746,1.9996684
