realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.14463177,0.38537657,0.9570818,2.2512553,5.3446984,9.253844,9.9996805,9.999995,9.999978,9.999945,9.99986
1,0.15179029,0.34480006,0.8277683,2.2299798,5.3528223,9.330911,9.9971285,9.999995,9.999971,9.999938,9.999841
2,0.13331985,0.30688354,0.91281754,2.1968865,5.4893923,9.285699,9.995907,9.999987,9.999991,9.999969,9.999915
3,0.1428918,0.3549919,0.89961916,2.3415217,5.398533,9.322337,9.999424,9.999991,9.999983,9.999968,9.9999075
4,0.1526469,0.37152302,0.9189582,2.1986203,5.373558,9.264419,9.997057,9.99999,9.999974,9.999941,9.999869
