realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.14168195,0.3285307,0.90699506,2.409848,5.6182475,12.675772,15.970558,16.00013,16.000137,16.000383,16.000116
1,0.13156055,0.36504045,0.9347613,2.2904072,5.624364,12.71942,15.986196,16.000074,16.000097,16.000353,16.00041
2,0.17255902,0.39663887,0.978431,2.3076265,5.765398,12.860225,15.97782,16.000046,16.000196,16.000471,15.999983
3,0.12759314,0.38817993,0.8859576,2.356402,5.7409005,12.786559,15.986858,16.00003,16.00019,16.000393,16.000443
4,0.1479374,0.36050949,0.8953718,2.3094623,5.785345,12.790342,15.973183,15.999993,16.000156,16.000372,16.00065
