realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.16102108,0.37038374,0.9430576,2.2708097,5.591171,11.90003,13.987537,13.999976,14.0001335,14.000377,14.000742
1,0.13819438,0.40358686,0.92815304,2.3735087,5.934929,12.024806,13.987858,14.000042,14.0001335,14.000399,14.00089
2,0.16542524,0.38009375,0.9244096,2.192283,5.7553887,11.720519,13.985866,14.000073,14.000134,14.000407,14.000674
3,0.13280962,0.3564344,0.8915123,2.3107965,5.715881,11.787804,13.995322,14.000041,14.000114,14.0002985,14.000775
4,0.15002336,0.37498796,0.9091064,2.226034,5.478175,12.075048,13.987856,13.999985,14.000161,14.0003605,14.000967
