realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.26643583,0.56724024,1.1208383,1.6863282,1.9779786,1.9999933,1.9999915,1.9999799,1.999949,1.9998713,1.9996872
1,0.2636598,0.5988682,1.1237578,1.710628,1.983068,1.9999958,1.9999923,1.9999796,1.9999485,1.9998704,1.999664
2,0.27658138,0.5343432,1.2002152,1.6919128,1.9804773,1.9999963,1.999992,1.9999795,1.9999503,1.9998714,1.999684
3,0.32293552,0.5883751,1.1246045,1.7291546,1.9830085,1.9999968,1.9999918,1.9999801,1.999948,1.9998744,1.9996867
4,0.27678126,0.5617057,1.119514,1.7222942,1.981517,1.9999965,1.9999915,1.99998,1.9999508,1.9998696,1.9996798
