realization,SNR=-10dB,SNR=-6dB,SNR=-2dB,SNR=2dB,SNR=6dB,SNR=10dB,SNR=14dB,SNR=18dB,SNR=22dB,SNR=26dB,SNR=30dB
0,0.16561544,0.4095253,0.9175286,2.2752266,5.7068977,11.763354,13.993781,14.0000925,14.000112,14.00032,14.000876
1,0.15403585,0.351068,0.9306989,2.2025833,5.7627354,11.86587,13.994823,14.00006,14.000172,14.000449,14.000857
2,0.13963144,0.39638042,0.9146123,2.2532094,5.6656485,11.96089,13.990898,14.000012,14.0001335,14.000263,14.000821
3,0.14586997,0.35655135,0.91399235,2.3058577,5.8540034,12.012147,13.98298,14.000064,14.000093,14.000304,14.000946
4,0.12740375,0.39036873,0.891129,2.2886033,5.708831,11.919565,13.993438,14.000055,14.000193,14.000405,14.000805
